num_qubits,tickers,"s1, s2",kappa_opt,kappa_original
3,"['MNST', 'FTNT', 'WDAY']",[ 1.60431706e+00  5.80696743e-04 -1.29296553e-03],8.664143843783192,2762.7450568024688
3,"['ROST', 'EXC', 'PYPL']",[ 0.19561288  0.00044902 -0.00167655],5.769315781114988,435.64334795646766
3,"['ATVI', 'ODFL', 'ANSS']",[ 5.12526509e-01  3.35347998e-04 -1.67041281e-03],5.715343218505629,1528.3422350877008
3,"['ADP', 'AMGN', 'FTNT']",[ 1.60435266e+00  4.56333229e-04 -1.29298545e-03],12.360303619008018,3515.7480388623694
3,"['ZS', 'ISRG', 'AEP']",[ 1.60446435e+00  7.89340183e-04 -1.29262004e-03],21.957684133402214,2032.6652425635812
3,"['MSFT', 'ATVI', 'ROST']",[ 1.03256376e+00  5.77320021e-04 -1.62017586e-03],3.3510274996418383,1788.546594114493
3,"['NFLX', 'MRNA', 'ABNB']",[ 1.60411395e+00  1.81550559e-03 -1.29207881e-03],7.881290471231878,883.5632092843064
3,"['AVGO', 'EA', 'LULU']",[ 2.09189672e+01 -5.45465991e-03 -5.68624254e-03],42.16761127761584,3835.0635027697003
3,"['NVDA', 'MRVL', 'TMUS']",[ 0.16455066  0.00033439 -0.00169881],18.39217504500197,492.0933605317246
3,"['ROST', 'REGN', 'AVGO']",[ 1.60504644e+00 -5.65363244e-04 -1.29369009e-03],4.791836534252595,2838.9649602056325
3,"['MCHP', 'COST', 'PEP']",[ 1.60501929e+00 -3.86755490e-04 -1.29324120e-03],5.48663700383635,4149.958658429079
3,"['MU', 'GOOGL', 'ADI']",[-0.20443967 -0.0006523  -0.0023238 ],10.363941879412945,313.4153984178722
3,"['PEP', 'CHTR', 'GOOGL']",[ 1.60429909e+00  5.88445172e-04 -1.29297642e-03],15.088535474502775,2726.335721839119
3,"['AVGO', 'ASML', 'ROST']",[ 1.60503338e+00 -4.21955340e-04 -1.29324939e-03],13.190482959331721,3803.7991875577954
3,"['ZM', 'WBD', 'ADSK']",[ 0.89334231  0.00247675 -0.00119931],8.410425367435941,360.6912211412092
3,"['AAPL', 'NVDA', 'TXN']",[ 2.98346957e-01 -2.91615049e-04 -2.18936110e-03],14.74932832830546,1023.0849112979406
3,"['ALGN', 'CPRT', 'BKR']",[ 0.63861106 -0.00085075 -0.00356316],9.582562980536835,750.644333312062
3,"['CTAS', 'CMCSA', 'NVDA']",[ 0.35116945 -0.00043922 -0.00162386],5.9252840343617414,799.5309270413784
3,"['SBUX', 'AAPL', 'COST']",[ 1.60515388e+00 -4.38196931e-04 -1.29307765e-03],13.863876539770907,3663.0879112407997
3,"['ZM', 'TEAM', 'SGEN']",[ 0.74935844  0.00173639 -0.00311419],7.605646881461638,431.5604007403978
4,"['AMGN', 'ADBE', 'KLAC', 'MRNA']",[ 1.60508256e+00 -6.89684309e-04 -1.29375287e-03],10.481411689445421,2327.2713910023667
4,"['COST', 'VRTX', 'META', 'ISRG']",[ 1.60445439e+00  7.94644089e-04 -1.29257444e-03],26.58023897615238,2019.08554322562
4,"['CTSH', 'MRNA', 'NVDA', 'KHC']",[ 1.60506368e+00 -3.81265931e-04 -1.29326375e-03],14.119984007525488,4209.8271775805215
4,"['IDXX', 'AMD', 'AEP', 'PAYX']",[ 0.12049301 -0.00016343 -0.00044575],22.49793843798676,737.2957332271068
4,"['CHTR', 'SGEN', 'GOOG', 'ILMN']",[ 1.60449422e+00  7.34554259e-04 -1.29266555e-03],19.467861855885126,2184.31001086663
4,"['PDD', 'ADSK', 'LRCX', 'TXN']",[ 0.39919909  0.00093346 -0.00158035],19.37572887951448,427.6570261246884
4,"['ADI', 'BKNG', 'ZM', 'LULU']",[ 0.19428747  0.00038149 -0.00120072],12.28099715352448,509.28977521090815
4,"['KDP', 'XEL', 'WBA', 'VRSK']",[ 1.61144402e-01  1.36852593e-04 -7.02479484e-04],7.504314165213664,1177.503461736519
4,"['QCOM', 'TXN', 'PDD', 'MU']",[-0.20929631  0.00056835 -0.00173938],29.30610845033081,368.25401556643004
4,"['MCHP', 'ANSS', 'ORLY', 'PYPL']",[ 0.14595968  0.00027334 -0.00233251],13.212241309607663,533.9814839463777
4,"['CMCSA', 'PDD', 'LULU', 'ASML']",[ 0.28834945  0.00076828 -0.00164931],15.240758412781563,375.3175615195268
4,"['AMD', 'ABNB', 'META', 'ANSS']",[ 6.44241150e-01  1.64982041e-03 -4.35914667e-04],16.41722733380418,390.49168374900944
4,"['INTU', 'ADP', 'VRSK', 'PAYX']",[ 7.91519721e-01 -1.19049910e-04 -2.17668573e-03],41.49920994781773,6648.63768154862
4,"['GILD', 'ISRG', 'GOOG', 'CTSH']",[ 9.48965476e-01  2.26084436e-04 -1.73746907e-04],17.693408536121737,4197.394092948749
4,"['AMAT', 'ISRG', 'FAST', 'ZM']",[ 1.60430921e+00  8.65428927e-04 -1.29266899e-03],27.679623808826868,1853.773501703227
4,"['ABNB', 'CSX', 'AVGO', 'RIVN']",[ 1.23722613e+00  6.99615578e-04 -1.95068499e-04],48.42753514682793,1768.4370800845666
4,"['BIIB', 'HON', 'JD', 'AMZN']",[ 1.60570240e+00 -1.23854388e-03 -1.29327785e-03],12.384628861905174,1296.4436916825648
4,"['MRNA', 'FANG', 'QCOM', 'ADBE']",[ 1.23476923e+00  3.98611893e-04 -2.70666826e-04],15.30788896599825,3097.6728422147135
4,"['BKNG', 'DDOG', 'CMCSA', 'INTU']",[ 0.49376431  0.00068053 -0.00263709],16.44384676387338,725.5558243568895
4,"['EBAY', 'EA', 'FTNT', 'PAYX']",[ 1.60469984e+00  2.36065861e-04 -1.29303561e-03],23.134596262037626,6797.678533905296
5,"['WBA', 'VRTX', 'SBUX', 'JD', 'KLAC']",[ 1.60477673e+00 -2.58264457e-04 -1.29344138e-03],13.961797276904079,6213.695647166078
5,"['GOOGL', 'AZN', 'GOOG', 'MRVL', 'ABNB']",[-4.35091107e-02 -1.86883959e-05 -1.74881923e-03],2507.201465810057,2328.1351121557673
5,"['MAR', 'PEP', 'KHC', 'PCAR', 'MU']",[ 0.09613337  0.00012798 -0.00137255],19.44022764688095,751.1546651345592
5,"['FAST', 'MRNA', 'GILD', 'IDXX', 'ZS']",[ 2.56937655e-01 -2.23914094e-04 -8.25569378e-04],21.600332495794582,1147.4831730128833
5,"['REGN', 'ABNB', 'TMUS', 'SGEN', 'MDLZ']",[ 1.60422846e+00  9.31544186e-04 -1.29262894e-03],24.479289487515363,1722.117404546713
5,"['PYPL', 'TSLA', 'ATVI', 'SNPS', 'ALGN']",[ 0.16267217  0.00040954 -0.00220674],10.700047622304595,397.20525998471453
5,"['ALGN', 'CTSH', 'VRSK', 'ADI', 'CMCSA']",[-0.12965225  0.00028736 -0.00226197],14.483727266649817,451.19023838478876
5,"['CSCO', 'MAR', 'EXC', 'JD', 'ISRG']",[ 1.60480745e+00 -3.19371489e-04 -1.29327971e-03],10.409308361866827,5024.892642280082
5,"['COST', 'INTU', 'TMUS', 'ORLY', 'FTNT']",[ 3.24843802e-01 -2.27761038e-04 -1.61386160e-04],13.81954842722272,1426.2483367181214
5,"['EBAY', 'MRNA', 'AMAT', 'META', 'NXPI']",[ 1.60446008e+00  6.64353450e-04 -1.29289416e-03],54.06447111875407,2415.069991363449
5,"['CDNS', 'ROST', 'GOOG', 'META', 'REGN']",[ 0.19699986  0.00027875 -0.00198321],13.760012130922124,706.7337722014871
5,"['AMGN', 'GOOG', 'GILD', 'CSX', 'ENPH']",[ 3.54387337e-01  2.25019747e-04 -2.57118543e-03],23.876423462305933,1574.9166092195842
5,"['EBAY', 'AMD', 'CRWD', 'MAR', 'JD']",[ 0.32045042  0.00048314 -0.001249  ],13.35720039266401,663.2698998747185
5,"['AEP', 'TMUS', 'LCID', 'AMGN', 'QCOM']",[ 0.08953241  0.00019764 -0.00243756],23.07217508599851,453.01803372738175
5,"['AEP', 'TSLA', 'WBD', 'ISRG', 'PAYX']",[-0.08421696  0.00015461 -0.00210906],28.74125490445252,544.6949624370127
5,"['AAPL', 'META', 'CSCO', 'MU', 'CDNS']",[ 0.13799562 -0.00026162 -0.0017726 ],25.595209641020844,527.4683170695614
5,"['CSX', 'FAST', 'AAPL', 'ROST', 'ISRG']",[ 1.60475798e+00  2.22153459e-04 -1.29302708e-03],28.50992751076625,7223.646180596937
5,"['PCAR', 'AAPL', 'VRSK', 'WDAY', 'VRTX']",[ 0.19637457  0.00021719 -0.00173798],11.824634822336593,904.1443670583253
5,"['CMCSA', 'ADBE', 'MELI', 'ADSK', 'PANW']",[ 0.600639   -0.00072918 -0.00175972],23.847905189298913,823.7194918834358
5,"['PAYX', 'PCAR', 'SGEN', 'ROST', 'CTAS']",[ 1.60488253e+00 -2.10796451e-04 -1.29319154e-03],22.630008816415703,7613.422898717156
6,"['CHTR', 'NXPI', 'XEL', 'META', 'GOOGL', 'WDAY']",[ 1.54757199e-01 -2.74243216e-04  1.33295347e-04],17.587130379031393,564.3063873440026
6,"['ATVI', 'PEP', 'PCAR', 'CMCSA', 'TEAM', 'FAST']",[ 0.12085238  0.0002136  -0.00198665],28.782966018900286,565.7816811504084
6,"['AZN', 'PYPL', 'NXPI', 'PAYX', 'CSCO', 'AAPL']",[ 0.090684    0.0001611  -0.00168552],22.925538441761468,562.9061215230887
6,"['WBD', 'SIRI', 'ENPH', 'EXC', 'KDP', 'GILD']",[ 0.13039715 -0.00013117 -0.00178874],23.21995445411293,994.0768727454143
6,"['ADP', 'AMD', 'KDP', 'EBAY', 'DDOG', 'VRSK']",[ 0.11523987  0.00022548 -0.00258821],31.1425749848755,511.08164223859745
